estimate,std_error,t_stat,p_value
0.23503247453652595,0.1537732922242971,1.5284349521092548,0.1281406901111674
0.5137521292692917,0.20617842532611075,2.4917841353026833,0.013604738067155257
0.5179249116807882,0.25755547770946924,2.010925631583825,0.045809125651547704
0.8160236597015428,0.3626707118917168,2.250040140945223,0.025643800250271194
0.691205407668946,0.32075331306125404,2.1549439382936226,0.032480119201312656
0.6927142024664713,0.48717297291542644,1.4219060600201379,0.15676494533825505
0.7182873868129386,0.7225848402827095,0.9940526658875246,0.32151699731198
0.8139891524626791,0.7472564538643066,1.0893036095617188,0.27746025568071664
0.6814763260281103,0.766379159859771,0.8892156281399981,0.37506100095906547
0.3989342607992508,0.5616275014130976,0.7103182443799526,0.47842100242933727
0.3308651572661937,0.5525817462411282,0.5987623722948952,0.5500841294753012
0.2912004063935231,0.5122724598254037,0.5684482950591803,0.5704430503549169
0.17819624460476557,0.33577011825445335,0.5307090622928061,0.5962819153075161
0.2011542779949512,0.2912311566506682,0.6907031524660522,0.4906568875686875
0.2796228204769253,0.25991201344388437,1.0758364600845838,0.283472962469541
0.4346426033323462,0.25949590107532367,1.674949783527343,0.09573010709905344
0.5180778136465488,0.32335733607156986,1.6021835778974898,0.11092885710707556
0.6926102830240417,0.3655511122662511,1.894701615678782,0.05980016541120104
0.7816520474103841,0.425267082076839,1.8380262201181892,0.06778351767107066
0.9995731745065343,0.3403953541623022,2.9365065130411057,0.003776578128283959
0.8389031016206462,0.4310340583929343,1.9462571119052847,0.0532724962145268
