estimate,std_error,t_stat,p_value,quarter
0.17519312091924005,0.07253469625451245,2.415300952037021,0.017466941432140583,0
0.3483619266060266,0.11610727855555084,3.0003452922148623,0.0033755655034261992,1
0.5704027387139482,0.15693272449036486,3.634695953736335,4.344727195515686e-4,2
0.8098967927576709,0.17869456876291565,4.532296635339866,1.5643682166283733e-5,3
0.9233363810472108,0.26332303269821195,3.5064778480863996,6.716863959433409e-4,4
0.9343356353637896,0.3028727101471063,3.084911925244039,0.002608662835470939,5
0.8564685882484463,0.30797853739530184,2.7809359557712856,0.0064359399378068624,6
0.8886289016718322,0.31355720898786515,2.834024784632595,0.0055227485772548065,7
0.7909670577561149,0.2807915422372695,2.816919097540858,0.005803146833722152,8
0.7307516101856072,0.2876462783277996,2.5404521637955906,0.012563152219583417,9
0.7378110423837879,0.3417853711525291,2.158696962060801,0.033218909982777704,10
0.6571276744989973,0.41547265675629086,1.5816388005636124,0.11685866387760556,11
0.5963591371117773,0.44797369679271665,1.331236948466911,0.18613803352466926,12
0.5124899291544469,0.4747270100166156,1.0795465990791415,0.28296720899806993,13
0.4603409587003824,0.5030299098730159,0.9151363560401213,0.36236632886459474,14
0.38063543851031617,0.49536591810887287,0.7683924642281488,0.4441207739938694,15
0.3798155382665146,0.4740481787633117,0.8012171658529952,0.42498456062474854,16
0.4940558371711459,0.4142960869186644,1.192518714926072,0.23602804878794956,17
0.4523473608492869,0.35061724136923417,1.2901457985430926,0.2001648174662699,18
0.4615411659184326,0.2912599018486487,1.5846368243242404,0.11644358640043449,19
0.4184810464366854,0.24932371036431625,1.6784646988655567,0.0966502170461567,20
