"","year_quarter","HAWK","HAWK_IV"
"1",1960 Q1,0.66,0.49
"2",1960 Q2,0.46,0.26
"3",1960 Q3,0.58,0.36
"4",1960 Q4,0.44,0.01
"5",1961 Q1,0.54,0.24
"6",1961 Q2,0.16,-0.25
"7",1961 Q3,0.23,-0.25
"8",1961 Q4,0.23,0
"9",1962 Q1,0.21,-0.24
"10",1962 Q2,0.5,0.62
"11",1962 Q3,0.46,0.62
"12",1962 Q4,0.59,0.67
"13",1963 Q1,0.53,0.62
"14",1963 Q2,-0.12,-0.73
"15",1963 Q3,-0.05,-0.72
"16",1963 Q4,-0.14,-0.75
"17",1964 Q1,-0.13,-0.75
"18",1964 Q2,0.05,-0.25
"19",1964 Q3,0.09,-0.25
"20",1964 Q4,0.21,0.24
"21",1965 Q1,0.14,-0.22
"22",1965 Q2,-0.09,-0.36
"23",1965 Q3,0,-0.14
"24",1965 Q4,0.04,-0.01
"25",1966 Q1,0.16,-0.01
"26",1966 Q2,0.03,-0.25
"27",1966 Q3,-0.04,-0.25
"28",1966 Q4,0,-0.25
"29",1967 Q1,0,-0.25
"30",1967 Q2,-0.26,-0.75
"31",1967 Q3,-0.4,-0.75
"32",1967 Q4,-0.28,-0.5
"33",1968 Q1,-0.25,-0.5
"34",1968 Q2,0.13,0.48
"35",1968 Q3,-0.08,0.01
"36",1968 Q4,0.01,0.26
"37",1969 Q1,0.08,0.49
"38",1969 Q2,-0.22,-0.38
"39",1969 Q3,-0.14,-0.38
"40",1969 Q4,-0.21,-0.38
"41",1970 Q1,-0.21,-0.38
"42",1970 Q2,0,-0.13
"43",1970 Q3,0.09,-0.13
"44",1970 Q4,0.05,0.11
"45",1971 Q1,0.1,-0.11
"46",1971 Q2,0.27,0.12
"47",1971 Q3,0.17,0.12
"48",1971 Q4,0.14,0.12
"49",1972 Q1,0.17,0.12
"50",1972 Q2,0.3,0.75
"51",1972 Q3,0.5,0.75
"52",1972 Q4,0.38,0.75
"53",1973 Q1,0.37,0.75
"54",1973 Q2,0.29,0.26
"55",1973 Q3,0.36,0.5
"56",1973 Q4,0.17,0.5
"57",1974 Q1,0.17,0.5
"58",1974 Q2,0.08,0.38
"59",1974 Q3,0.04,0.38
"60",1974 Q4,0.05,0.38
"61",1975 Q1,0.04,0.37
"62",1975 Q2,0.3,0.25
"63",1975 Q3,0.18,0.25
"64",1975 Q4,0.27,0.25
"65",1976 Q1,0.25,0.25
"66",1976 Q2,0.63,0.75
"67",1976 Q3,0.58,0.75
"68",1976 Q4,0.58,0.75
"69",1977 Q1,0.58,0.75
"70",1977 Q2,0.38,0.38
"71",1977 Q3,0.38,0.38
"72",1977 Q4,0.54,0.88
"73",1978 Q1,0.41,0.88
"74",1978 Q2,0.41,0.88
"75",1978 Q3,0.35,0.88
"76",1978 Q4,0.36,0.87
"77",1979 Q1,0.3,0.88
"78",1979 Q2,0.35,1
"79",1979 Q3,0.23,1
"80",1979 Q4,0.37,1
"81",1980 Q1,0.37,1
"82",1980 Q2,0.27,0.63
"83",1980 Q3,0.34,0.63
"84",1980 Q4,0.41,0.87
"85",1981 Q1,0.41,0.87
"86",1981 Q2,0.32,0.72
"87",1981 Q3,0.29,0.51
"88",1981 Q4,0.38,0.75
"89",1982 Q1,0.38,0.75
"90",1982 Q2,0.41,1
"91",1982 Q3,0.37,1
"92",1982 Q4,0.29,0.75
"93",1983 Q1,0.29,0.75
"94",1983 Q2,-0.08,-0.12
"95",1983 Q3,-0.08,-0.12
"96",1983 Q4,-0.08,-0.12
"97",1984 Q1,-0.08,-0.12
"98",1984 Q2,0.21,0.75
"99",1984 Q3,0.29,0.75
"100",1984 Q4,0.29,0.75
"101",1985 Q1,0.13,0.51
"102",1985 Q2,0.16,0.63
"103",1985 Q3,0.09,0.63
"104",1985 Q4,0.09,0.63
"105",1986 Q1,0.05,0.63
"106",1986 Q2,0.05,0
"107",1986 Q3,0.05,0
"108",1986 Q4,0.04,0
"109",1987 Q1,0.19,0.24
"110",1987 Q2,-0.15,0.12
"111",1987 Q3,-0.14,0.12
"112",1987 Q4,-0.23,0.13
"113",1988 Q1,-0.23,0.12
"114",1988 Q2,0,0.75
"115",1988 Q3,0.09,0.75
"116",1988 Q4,0.25,1
"117",1989 Q1,0.25,1
"118",1989 Q2,-0.09,-0.13
"119",1989 Q3,0,-0.13
"120",1989 Q4,0,-0.13
"121",1990 Q1,0,-0.13
"122",1990 Q2,0.23,0.5
"123",1990 Q3,0.32,0.5
"124",1990 Q4,0.32,0.5
"125",1991 Q1,0.32,0.5
"126",1991 Q2,0.4,0.25
"127",1991 Q3,0.4,0.25
"128",1991 Q4,0.4,0.25
"129",1992 Q1,0.33,0.25
"130",1992 Q2,0.29,0.36
"131",1992 Q3,0.21,0.13
"132",1992 Q4,0.21,0.12
"133",1993 Q1,0.21,0.12
"134",1993 Q2,0.13,0.12
"135",1993 Q3,0.16,0.13
"136",1993 Q4,0.17,0.13
"137",1994 Q1,0.17,0.12
"138",1994 Q2,0.4,0.38
"139",1994 Q3,0.37,0.38
"140",1994 Q4,0.41,0.62
"141",1995 Q1,0.41,0.62
"142",1995 Q2,0.18,0.25
"143",1995 Q3,0.18,0.25
"144",1995 Q4,0.18,0.25
"145",1996 Q1,0.39,0.5
"146",1996 Q2,0.3,0.5
"147",1996 Q3,0.25,0.5
"148",1996 Q4,0.25,0.5
"149",1997 Q1,0.25,0.5
"150",1997 Q2,0.64,1
"151",1997 Q3,0.55,1
"152",1997 Q4,0.55,1
"153",1998 Q1,0.46,1
"154",1998 Q2,0.34,0.63
"155",1998 Q3,0.41,0.88
"156",1998 Q4,0.41,0.88
"157",1999 Q1,0.27,0.87
"158",1999 Q2,-0.14,-0.25
"159",1999 Q3,-0.2,-0.25
"160",1999 Q4,-0.2,-0.25
"161",2000 Q1,-0.2,-0.25
"162",2000 Q2,0.15,0.63
"163",2000 Q3,0.15,0.63
"164",2000 Q4,0.15,0.63
"165",2001 Q1,0.2,0.75
"166",2001 Q2,0.2,0.75
"167",2001 Q3,0.2,0.75
"168",2001 Q4,0.2,0.75
"169",2002 Q1,-0.09,0.63
"170",2002 Q2,-0.2,0.63
"171",2002 Q3,-0.2,0.63
"172",2002 Q4,-0.17,0.63
"173",2003 Q1,-0.37,0.5
"174",2003 Q2,-0.37,0.51
"175",2003 Q3,-0.37,0.5
"176",2003 Q4,-0.36,0.5
"177",2004 Q1,-0.12,0.87
"178",2004 Q2,-0.12,0.88
"179",2004 Q3,-0.12,0.87
"180",2004 Q4,-0.12,0.88
"181",2005 Q1,-0.13,0.88
"182",2005 Q2,-0.13,0.51
"183",2005 Q3,0.05,0.63
"184",2005 Q4,0.15,0.62
"185",2006 Q1,0.19,0.38
"186",2006 Q2,0.01,0.38
"187",2006 Q3,0.1,0.37
"188",2006 Q4,0.05,0.34
"189",2007 Q1,0.18,0.37
"190",2007 Q2,0.3,0.38
"191",2007 Q3,0.3,0.37
"192",2007 Q4,0.3,0.38
"193",2008 Q1,0.45,1
"194",2008 Q2,0.45,1
"195",2008 Q3,0.45,1
"196",2008 Q4,0.55,1
"197",2009 Q1,-0.5,-0.5
"198",2009 Q2,-0.45,-0.5
"199",2009 Q3,-0.45,-0.5
"200",2009 Q4,-0.45,-0.5
"201",2010 Q1,-0.35,0
"202",2010 Q2,-0.35,0
"203",2010 Q3,-0.35,0
"204",2010 Q4,-0.33,0
"205",2011 Q1,-0.28,0.5
"206",2011 Q2,-0.4,0.5
"207",2011 Q3,-0.4,0.5
"208",2011 Q4,-0.4,0.5
"209",2012 Q1,-0.75,-0.37
"210",2012 Q2,-0.75,-0.37
"211",2012 Q3,-0.79,-0.38
"212",2012 Q4,-0.79,-0.37
"213",2013 Q1,-0.67,0
"214",2013 Q2,-0.67,0
"215",2013 Q3,-0.67,0
"216",2013 Q4,-0.6,0
"217",2014 Q1,-0.5,0.25
"218",2014 Q2,-0.44,0.25
"219",2014 Q3,-0.35,0.62
"220",2014 Q4,-0.35,0.62
"221",2015 Q1,-0.8,-0.5
"222",2015 Q2,-0.8,-0.5
"223",2015 Q3,-0.8,-0.5
"224",2015 Q4,-0.8,-0.5
"225",2016 Q1,-0.55,0.13
"226",2016 Q2,-0.55,0.12
"227",2016 Q3,-0.55,0.13
"228",2016 Q4,-0.55,0.12
"229",2017 Q1,-0.8,-0.5
"230",2017 Q2,-0.8,-0.5
"231",2017 Q3,-0.78,-0.5
"232",2017 Q4,-0.56,-0.5
"233",2018 Q1,-0.33,0.01
"234",2018 Q2,-0.25,0.01
"235",2018 Q3,-0.15,0.33
"236",2018 Q4,-0.13,0.33
"237",2019 Q1,-0.2,0
"238",2019 Q2,-0.2,0
"239",2019 Q3,-0.2,0
"240",2019 Q4,-0.2,0
"241",2020 Q1,-0.3,0
"242",2020 Q2,-0.3,0
"243",2020 Q3,-0.3,0
"244",2020 Q4,-0.3,0
"245",2021 Q1,-0.32,-0.12
"246",2021 Q2,-0.32,-0.13
"247",2021 Q3,-0.32,-0.13
"248",2021 Q4,-0.32,-0.13
"249",2022 Q1,0.16,0.88
"250",2022 Q2,0.17,0.88
"251",2022 Q3,0.04,0.63
"252",2022 Q4,0.04,0.62
"253",2023 Q1,-0.16,0.02
